"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"UP_SEQ_FEATURE","REGION:Disordered","65.80%","1676","2463","13109","22253","1.11e-23","2.94e-20","1.16","5.87e-20","2.92e-20","9.43e-24"
"UP_KW_PTM","Phosphoprotein","55.83%","1422","1900","7858","13214","5.21e-52","1.51e-50","1.26","1.46e-50","1.41e-50","3.96e-52"
"GOTERM_CC_DIRECT","cytoplasm","37.30%","950","2509","6408","29722","7.92e-85","2.90e-82","1.76","8.70e-82","2.57e-82","4.20e-85"
"GOTERM_CC_DIRECT","nucleus","37.22%","948","2509","6018","29722","1.93e-100","2.12e-97","1.87","2.12e-97","1.88e-97","9.53e-101"
"UP_KW_CELLULAR_COMPONENT","Nucleus","36.95%","941","2244","5284","18649","1.52e-49","7.93e-48","1.48","7.93e-48","6.55e-48","9.62e-50"
"UP_KW_CELLULAR_COMPONENT","Cytoplasm","35.06%","893","2244","5460","18649","1.85e-30","4.81e-29","1.36","9.61e-29","3.97e-29","1.29e-30"
"UP_SEQ_FEATURE","COMPBIAS:Basic and acidic residues","34.31%","874","2463","6189","22253","3.02e-19","5.33e-16","1.28","1.60e-15","5.30e-16","2.29e-19"
"GOTERM_MF_DIRECT","protein binding","32.78%","835","2457","5596","28924","2.45e-72","5.04e-69","1.76","5.04e-69","4.70e-69","1.30e-72"
"UP_SEQ_FEATURE","COMPBIAS:Polar residues","30.90%","787","2463","5628","22253","2.53e-15","2.68e-12","1.26","1.35e-11","2.66e-12","1.91e-15"
"GOTERM_CC_DIRECT","cytosol","27.37%","697","2509","4363","29722","4.45e-71","1.22e-68","1.89","4.89e-68","1.08e-68","2.16e-71"
"GOTERM_CC_DIRECT","nucleoplasm","26.34%","671","2509","3572","29722","1.42e-99","7.79e-97","2.23","1.56e-96","6.91e-97","5.66e-100"
"UP_KW_PTM","Acetylation","25.64%","653","1900","3221","13214","1.04e-26","1.51e-25","1.41","2.91e-25","1.40e-25","6.87e-27"
"UP_KW_LIGAND","Metal-binding","23.52%","599","971","3994","6792","2.78e-2","2.27e-1","1.05","7.49e-1","2.27e-1","2.61e-2"
"UP_KW_DOMAIN","Repeat","23.32%","594","1658","4562","14896","1.02e-6","6.32e-6","1.17","3.16e-5","5.30e-6","8.15e-7"
"GOTERM_CC_DIRECT","membrane","21.08%","537","2509","5706","29722","2.26e-3","2.76e-2","1.11","9.17e-1","2.45e-2","2.03e-3"
"UP_KW_PTM","Ubl conjugation","18.53%","472","1900","2448","13214","1.00e-13","9.68e-13","1.34","2.80e-12","9.01e-13","7.13e-14"
"GOTERM_MF_DIRECT","metal ion binding","16.92%","431","2457","2748","28924","8.66e-39","8.89e-36","1.85","1.78e-35","8.30e-36","4.33e-39"
"UP_KW_BIOLOGICAL_PROCESS","Transcription","16.02%","408","1528","2166","11473","5.89e-16","9.37e-14","1.41","8.83e-14","8.55e-14","3.92e-16"
"UP_KW_LIGAND","Zinc","15.70%","400","971","2455","6792","3.03e-4","1.49e-2","1.14","1.47e-2","1.49e-2","2.53e-4"
"UP_KW_DOMAIN","Coiled coil","15.67%","399","1658","2624","14896","1.54e-12","1.59e-11","1.37","4.77e-11","1.33e-11","1.10e-12"
"UP_KW_BIOLOGICAL_PROCESS","Transcription regulation","15.47%","394","1528","2110","11473","1.09e-14","8.63e-13","1.40","1.73e-12","7.87e-13","7.07e-15"
"UP_KW_MOLECULAR_FUNCTION","Transferase","13.51%","344","1476","1985","12454","3.60e-15","3.35e-13","1.46","3.30e-13","2.52e-13","2.29e-15"
"GOTERM_CC_DIRECT","mitochondrion","13.39%","341","2509","1818","29722","4.11e-47","9.03e-45","2.22","4.52e-44","8.01e-45","1.64e-47"
"UP_KW_PTM","Isopeptide bond","12.88%","328","1900","1613","13214","2.92e-12","2.12e-11","1.41","8.17e-11","1.97e-11","1.90e-12"
"GOTERM_MF_DIRECT","identical protein binding","12.80%","326","2457","2094","28924","2.42e-28","1.24e-25","1.83","4.97e-25","1.16e-25","1.22e-28"
"UP_SEQ_FEATURE","COMPBIAS:Acidic residues","12.41%","316","2463","2121","22253","1.10e-8","8.28e-6","1.35","5.80e-5","8.24e-6","7.91e-9"
"UP_SEQ_FEATURE","COMPBIAS:Basic residues","11.97%","305","2463","2312","22253","4.97e-4","9.40e-2","1.19","9.28e-1","9.35e-2","4.29e-4"
"UP_KW_BIOLOGICAL_PROCESS","Transport","11.74%","299","1528","2048","11473","3.89e-2","2.69e-1","1.10","9.98e-1","2.46e-1","3.37e-2"
"UP_KW_LIGAND","Nucleotide-binding","11.74%","299","971","1865","6792","7.84e-3","7.68e-2","1.12","3.20e-1","7.68e-2","6.88e-3"
"UP_KW_MOLECULAR_FUNCTION","Hydrolase","11.66%","297","1476","1835","12454","1.86e-9","5.75e-8","1.37","1.73e-7","4.33e-8","1.27e-9"
"GOTERM_MF_DIRECT","zinc ion binding","11.62%","296","2457","1667","28924","1.16e-35","7.91e-33","2.09","2.37e-32","7.38e-33","4.97e-36"
"UP_KW_DOMAIN","Zinc-finger","10.88%","277","1658","1479","14896","4.67e-20","1.45e-18","1.68","1.45e-18","1.21e-18","2.54e-20"
"UP_KW_CELLULAR_COMPONENT","Mitochondrion","10.09%","257","2244","1306","18649","2.23e-16","3.86e-15","1.64","1.15e-14","3.19e-15","1.73e-16"
"GOTERM_BP_DIRECT","regulation of transcription by RNA polymerase II","9.38%","239","2485","1569","29712","2.25e-20","6.88e-17","1.82","1.38e-16","6.67e-17","1.14e-20"
"GOTERM_MF_DIRECT","ATP binding","9.34%","238","2457","1543","28924","3.60e-20","1.23e-17","1.82","7.38e-17","1.15e-17","1.83e-20"
"UP_SEQ_FEATURE","CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO2)","9.11%","232","2463","1049","22253","5.65e-26","2.99e-22","2.00","2.99e-22","2.98e-22","2.48e-26"
"UP_KW_MOLECULAR_FUNCTION","DNA-binding","8.87%","226","1476","1734","12454","6.35e-2","2.04e-1","1.10","9.98e-1","1.53e-1","5.55e-2"
"UP_KW_LIGAND","ATP-binding","8.87%","226","971","1428","6792","4.12e-2","2.88e-1","1.11","8.73e-1","2.88e-1","3.46e-2"
"KEGG_PATHWAY","Metabolic pathways","8.87%","226","1084","1650","9565","8.01e-4","3.11e-2","1.21","2.44e-1","2.79e-2","6.48e-4"
"GOTERM_MF_DIRECT","DNA binding","8.87%","226","2457","1593","28924","1.01e-14","2.96e-12","1.67","2.07e-11","2.76e-12","5.50e-15"
"UP_KW_CELLULAR_COMPONENT","Endoplasmic reticulum","8.64%","220","2244","1319","18649","2.34e-7","2.03e-6","1.39","1.22e-5","1.68e-6","1.55e-7"
"UP_SEQ_FEATURE","COMPBIAS:Pro residues","8.48%","216","2463","1715","22253","2.48e-2","1.00e+0","1.14","1.00e+0","9.95e-1","2.12e-2"
"GOTERM_CC_DIRECT","endoplasmic reticulum","7.93%","202","2509","1262","29722","3.00e-19","3.66e-17","1.90","3.29e-16","3.25e-17","1.45e-19"
"GOTERM_CC_DIRECT","Golgi apparatus","7.93%","202","2509","1149","29722","4.59e-24","7.19e-22","2.08","5.04e-21","6.38e-22","1.98e-24"
"GOTERM_BP_DIRECT","positive regulation of transcription by RNA polymerase II","7.89%","201","2485","1284","29712","1.59e-18","3.24e-15","1.87","9.73e-15","3.14e-15","7.82e-19"
"GOTERM_CC_DIRECT","nucleolus","7.81%","199","2509","966","29722","9.08e-33","1.66e-30","2.44","9.97e-30","1.47e-30","3.23e-33"
"UP_KW_CELLULAR_COMPONENT","Cytoskeleton","7.54%","192","2244","1376","18649","1.67e-2","7.88e-2","1.16","5.83e-1","6.52e-2","1.34e-2"
"GOTERM_CC_DIRECT","endoplasmic reticulum membrane","7.07%","180","2509","1110","29722","8.22e-18","8.21e-16","1.92","9.03e-15","7.28e-16","3.92e-18"
"UP_KW_CELLULAR_COMPONENT","Golgi apparatus","6.99%","178","2244","937","18649","3.37e-10","4.38e-9","1.58","1.75e-8","3.62e-9","1.84e-10"
"GOTERM_CC_DIRECT","intracellular membrane-bounded organelle","6.64%","169","2509","997","29722","1.21e-18","1.33e-16","2.01","1.33e-15","1.18e-16","5.48e-19"
"GOTERM_BP_DIRECT","regulation of DNA-templated transcription","6.48%","165","2485","1037","29712","9.62e-16","8.42e-13","1.90","6.12e-12","8.16e-13","4.72e-16"
"GOTERM_MF_DIRECT","RNA binding","6.20%","158","2457","816","28924","6.01e-23","2.47e-20","2.28","1.23e-19","2.30e-20","2.33e-23"
"UP_KW_MOLECULAR_FUNCTION","RNA-binding","6.12%","156","1476","716","12454","1.22e-14","5.66e-13","1.84","1.14e-12","4.26e-13","5.86e-15"
