"gene_ensembl_ID" "baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "gene" "DE"
"ENSMUSG00000037979" 670.092113867094 27.6025765686141 2.40661792257526 11.4694469403258 1.87856035762296e-30 1.8569569135103e-26 "Ccdc92" TRUE
"ENSMUSG00000021481" 618.904382743903 -25.5453004699564 2.32705826276612 -10.977507902871 4.9026215061182e-28 2.42312067939892e-24 "Zfp346" TRUE
"ENSMUSG00000024386" 1053.77774158161 28.3298347599338 2.59998817133385 10.8961398641287 1.20251264556576e-27 3.96227916713918e-24 "Proc" TRUE
"ENSMUSG00000008845" 234.381305471637 26.2953075947691 2.46944253427818 10.6482767789757 1.77622593765557e-26 4.38949834843133e-23 "Cd163" TRUE
"ENSMUSG00000021367" 260.422687223785 -24.820505009211 2.50133384340722 -9.92290776164506 3.30970935681367e-23 6.54329539842063e-20 "Edn1" TRUE
"ENSMUSG00000049321" 226.77675367376 -24.6572397077668 2.51168120917726 -9.81702598947406 9.51080007596258e-23 1.37589561889634e-19 "Zfp2" TRUE
"ENSMUSG00000046861" 148.057809336892 -23.9879478687354 2.4441110294665 -9.81459008184724 9.74331748333267e-23 1.37589561889634e-19 "Hectd3" TRUE
"ENSMUSG00000028862" 74.833023377477 -22.8599143027248 2.3733843325201 -9.63177939177332 5.87039832449926e-22 7.25361092970939e-19 "Map3k6" TRUE
"ENSMUSG00000029501" 224.613402318017 -24.5339948952191 2.55402370906329 -9.60601689332677 7.54098391752111e-22 8.28251400274402e-19 "Ankle2" TRUE
"ENSMUSG00000036634" 174.731668377126 -23.8345893742164 2.51080617214124 -9.49280340261789 2.24902883392214e-21 2.22316500233204e-18 "Mag" TRUE
"ENSMUSG00000039781" 46.8769600345208 22.5829142358994 2.43224594610328 9.28479879762147 1.62012984364185e-20 1.45590759130906e-17 "Cep131" TRUE
"ENSMUSG00000073680" 170.584852053993 -24.3339781738338 2.64140824847113 -9.21250177359689 3.18610871805866e-20 2.45628719308647e-17 "Tmem88b" TRUE
"ENSMUSG00000034789" 186.211289162709 -21.0140129922697 2.2813984494453 -9.21102273799609 3.23032205464079e-20 2.45628719308647e-17 "Rab24" TRUE
"ENSMUSG00000051022" 110.53595028026 -22.9827183715819 2.51631174118688 -9.13349407205865 6.63233822846712e-20 4.68290452774267e-17 "Hs3st1" TRUE
"ENSMUSG00000024911" 125.911358195248 -20.7502136959296 2.28567192127164 -9.078386754817 1.10195977749712e-19 7.26191493370602e-17 "Fibp" TRUE
"ENSMUSG00000003660" 161.774460057535 -20.924136698264 2.32689434385334 -8.99230201557568 2.4210535943349e-19 1.49575717375003e-16 "Snrnp200" TRUE
"ENSMUSG00000032915" 206.992345485348 24.7329863727413 2.75702002171633 8.97091286168618 2.9406703208033e-19 1.70991330124357e-16 "Adgre4" TRUE
"ENSMUSG00000051098" 61.8598153627673 -20.9948930727076 2.41208318467504 -8.70405017791126 3.20245345565667e-18 1.75868068939812e-15 "Mblac2" TRUE
"ENSMUSG00000052821" 103.820646977066 -21.7211193124747 2.50335228366783 -8.67681286976103 4.0701399058902e-18 2.11754384051182e-15 "Cysltr1" TRUE
"ENSMUSG00000029368" 32958.380426216 15.9630561559681 1.86908895018866 8.54055455967297 1.33579200535272e-17 6.60215198645583e-15 "Alb" TRUE
"ENSMUSG00000057541" 36.1363889451069 -20.9888827583158 2.46763437884254 -8.50566961551279 1.80550444466958e-17 8.49876735026611e-15 "Pus7" TRUE
"ENSMUSG00000026213" 53.9845428104234 -20.8060501426402 2.44966934607702 -8.4934116418445 2.00658033528701e-17 9.01593027923279e-15 "Stk11ip" TRUE
